date_time,is_holiday,air_pollution_index,humidity,visibility_in_miles,temperature,clouds_all,weather_type,weather_description,traffic_volume,hour,month_day,weekday,month,year
02-10-2012 15:00,Yes,184,64,7,283.73,1,Clear,sky is clear,5584,15,2,2,10,2012
02-10-2012 16:00,Yes,167,64,7,305.86,1,Clear,sky is clear,6015,16,2,2,10,2012
02-10-2012 17:00,Yes,119,63,6,306.14,20,Clouds,few clouds,5791,17,2,2,10,2012
02-10-2012 18:00,Yes,161,63,3,305.1,20,Clouds,few clouds,4770,18,2,2,10,2012
02-10-2012 19:00,Yes,243,62,8,302.97,20,Clouds,few clouds,3539,19,2,2,10,2012
02-10-2012 20:00,No,150,62,5,301.38,1,Clear,sky is clear,2784,20,2,2,10,2012
02-10-2012 21:00,Yes,128,61,4,300.61,1,Clear,sky is clear,2361,21,2,2,10,2012
02-10-2012 22:00,Yes,18,61,7,299.16,1,Clear,sky is clear,1529,22,2,2,10,2012
02-10-2012 23:00,Yes,186,60,5,297.45,1,Clear,sky is clear,963,23,2,2,10,2012
03-10-2012 00:00,Yes,58,60,2,296.63,1,Clear,sky is clear,506,0,3,3,10,2012
03-10-2012 01:00,No,158,59,6,295.47,1,Clear,sky is clear,321,1,3,3,10,2012
03-10-2012 02:00,No,166,59,1,293.18,1,Clear,sky is clear,273,2,3,3,10,2012
03-10-2012 03:00,Yes,101,58,7,293.09,1,Clear,sky is clear,367,3,3,3,10,2012
03-10-2012 04:00,No,161,58,4,291.53,1,Clear,sky is clear,814,4,3,3,10,2012
03-10-2012 05:00,No,179,57,3,290.62,1,Clear,sky is clear,2718,5,3,3,10,2012
03-10-2012 06:00,No,93,57,4,290.23,1,Clear,sky is clear,5673,6,3,3,10,2012
03-10-2012 08:00,No,57,56,4,290.12,1,Clear,sky is clear,6511,8,3,3,10,2012
03-10-2012 09:00,No,226,56,4,294.48,1,Clear,sky is clear,5471,9,3,3,10,2012
03-10-2012 12:00,Yes,86,55,3,303.97,1,Clear,sky is clear,5097,12,3,3,10,2012
03-10-2012 13:00,No,52,55,1,305.23,1,Clear,sky is clear,4887,13,3,3,10,2012
03-10-2012 14:00,No,273,55,4,306.31,1,Clear,sky is clear,5337,14,3,3,10,2012
03-10-2012 15:00,Yes,72,55,3,307.17,1,Clear,sky is clear,5692,15,3,3,10,2012
03-10-2012 16:00,Yes,254,55,1,307.13,1,Clear,sky is clear,6137,16,3,3,10,2012
03-10-2012 18:00,Yes,129,55,4,305.66,20,Clouds,few clouds,4623,18,3,3,10,2012
03-10-2012 19:00,Yes,271,48,1,302.65,20,Clouds,few clouds,3591,19,3,3,10,2012
03-10-2012 20:00,No,259,42,1,300.19,20,Clouds,few clouds,2898,20,3,3,10,2012
03-10-2012 21:00,No,61,33,8,299.1,1,Clear,sky is clear,2637,21,3,3,10,2012
03-10-2012 22:00,Yes,286,30,4,298.25,1,Clear,sky is clear,1777,22,3,3,10,2012
03-10-2012 23:00,No,151,33,9,297.26,1,Clear,sky is clear,1015,23,3,3,10,2012
04-10-2012 00:00,Yes,260,32,8,296.55,1,Clear,sky is clear,598,0,4,4,10,2012
04-10-2012 01:00,Yes,234,37,5,295.47,1,Clear,sky is clear,369,1,4,4,10,2012
04-10-2012 02:00,No,162,36,5,295.17,1,Clear,sky is clear,312,2,4,4,10,2012
04-10-2012 03:00,Yes,65,39,1,294.04,1,Clear,sky is clear,367,3,4,4,10,2012
